2026 NFL Schedule with Kickoff Times:

Week 1:
  Jaguars @ Bears                      1:00 PM ET
  Jets @ Cardinals                     1:00 PM ET
  Giants @ Eagles                      1:00 PM ET
  Chiefs @ Dolphins                    4:05 PM ET
  Titans @ Colts                       1:00 PM ET
  Vikings @ Lions                      1:00 PM ET
  Packers @ Saints                     1:00 PM ET
  Commanders @ 49ers                   4:25 PM ET
  Chargers @ Bills                     1:00 PM ET
  Raiders @ Broncos                    4:05 PM ET
  Buccaneers @ Cowboys                 4:25 PM ET
  Bengals @ Texans                     1:00 PM ET
  Rams @ Seahawks                      8:20 PM ET (Sunday Night Football)
  Falcons @ Browns                     1:00 PM ET
  Ravens @ Panthers                    8:15 PM ET (Monday Night Football)

Week 16:
  Buccaneers @ Bears                   8:15 PM ET (Thursday Night Football)
  Panthers @ Vikings                   1:00 PM ET
  Steelers @ Bengals                   4:25 PM ET
  Giants @ Commanders                  1:00 PM ET
  Texans @ Colts                       1:00 PM ET
  Jets @ Dolphins                      1:00 PM ET
  Cardinals @ Rams                     4:05 PM ET
  Saints @ Ravens                      1:00 PM ET
  Browns @ Titans                      1:00 PM ET
  Patriots @ Chargers                  1:00 PM ET
  Seahawks @ Raiders                   4:05 PM ET
  Chiefs @ Broncos                     1:00 PM ET
  Eagles @ Jaguars                     1:00 PM ET (Christmas Day)
  49ers @ Cowboys                      8:20 PM ET (Sunday Night Football)
  Bills @ Packers                      4:30 PM ET (Christmas Day)
  Lions @ Falcons                      8:15 PM ET (Monday Night Football)

Week 17:
  Vikings @ Packers                    8:15 PM ET (Thursday Night Football)
  Texans @ Titans                      1:00 PM ET
  Bears @ Falcons                      1:00 PM ET
  Panthers @ Steelers                  1:00 PM ET
  Saints @ Lions                       1:00 PM ET
  Jaguars @ Giants                     1:00 PM ET
  Broncos @ Jets                       1:00 PM ET
  Eagles @ Cardinals                   4:05 PM ET
  Dolphins @ 49ers                     1:00 PM ET
  Ravens @ Bills                       4:25 PM ET
  Colts @ Browns                       1:00 PM ET
  Raiders @ Patriots                   1:00 PM ET
  Cowboys @ Rams                       4:25 PM ET
  Bengals @ Commanders                 1:00 PM ET
  Chargers @ Buccaneers                8:20 PM ET (Sunday Night Football)
  Chiefs @ Seahawks                    8:15 PM ET (Monday Night Football)

Week 18:
  Rams @ 49ers                         TBD (Flex Scheduling - Nighttime)
  Commanders @ Eagles                  TBD (Flex Scheduling - Nighttime)
  Bengals @ Ravens                     TBD (Flex Scheduling - Nighttime)
  Colts @ Texans                       TBD (Flex Scheduling - Nighttime)
  Chargers @ Chiefs                    TBD (Flex Scheduling - Nighttime)
  Broncos @ Raiders                    TBD (Flex Scheduling - Nighttime)
  Vikings @ Bears                      TBD (Flex Scheduling - Nighttime)
  Dolphins @ Bills                     TBD (Flex Scheduling - Nighttime)
  Packers @ Lions                      TBD (Flex Scheduling - Nighttime)
  Cardinals @ Seahawks                 TBD (Flex Scheduling - Nighttime)
  Patriots @ Jets                      TBD (Flex Scheduling - Nighttime)
  Falcons @ Panthers                   TBD (Flex Scheduling - Nighttime)
  Titans @ Jaguars                     TBD (Flex Scheduling - Nighttime)
  Browns @ Steelers                    TBD (Flex Scheduling - Nighttime)
  Buccaneers @ Saints                  TBD (Flex Scheduling - Nighttime)
  Cowboys @ Giants                     TBD (Flex Scheduling - Nighttime)

